Year,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CNRM-CM6-1,CanESM5,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM
1889,0.05050686431960318,0.12501129257041288,0.15311047695859747,0.10682697538355855,0.10025858400892279,-0.07323289420443305,0.041306612053531755,-0.02742619987364403,0.15300453902576613,0.07518531612257501,-0.05407529503915152,-0.018443665671681313
1890,-0.031175577450965497,0.1802459290048072,0.10214474628191876,0.1056397954715331,0.09259219882123766,0.024868626030223235,0.2427040949885135,0.13998990023927976,0.16787565336648777,0.09026203101299618,-0.10914513218725407,0.0015972524097207974
1891,0.011453891200808948,0.16200742291922524,0.12958096890861331,0.16220913779857982,0.07419912456273117,0.08223934938967352,-0.011408057835992719,0.08552709130276485,0.08766548746618683,0.06770158607809822,-0.02067106882583906,-0.16495410218811749
1892,0.02014870201247828,0.1364411088967228,0.02887122832042196,0.08634613495365968,0.10772452527379098,-0.0636454058674973,0.08188530451236632,0.05322644244433216,0.029248861104435434,0.11997350855782744,0.03977339308618754,-0.061330812235311366
1893,0.13516126679508206,0.17340434067599897,0.06935440553623651,0.17445661351096473,0.13092087351821266,-0.07194962138917577,-0.029854521622344275,0.043717595701367455,0.015499576003526952,0.04286075896912154,0.04032905566905035,0.07020059526704643
1894,0.09134730533707608,0.1007280367418207,0.19441980038273507,0.12000651581439083,0.15598465587806948,0.05207176780208431,0.11994975184214286,0.03786829177251753,0.13119623844388772,0.05481329223169699,0.10162459813917278,0.079666341979586
1895,0.10635716143648614,0.1415783243581232,0.11851401063098245,0.10618112674511047,0.10916563306144438,0.08446698487485538,0.29461425556809473,0.10445687443469209,0.12858416692771296,0.016797430690520466,0.10094577978358753,0.0798381303950438
1896,0.18670306727846273,0.028588879794464988,0.11407744534425761,0.15731605296340248,0.1033344155372003,-0.010893704782157112,0.2177699682870018,0.18436526973097075,0.13345951818003332,-0.05984623058879066,0.031660263400511944,0.07630773191112218
1897,0.012012624880960046,-0.11311244318620396,0.13459513029182985,0.18722636287292563,0.09795940660197536,-0.07058211502210976,-0.04641659101345871,0.19370218412125076,0.11246490711890704,0.005208924375500529,0.034700047959240914,0.07588361380560442
1898,0.2153437330110348,0.04889677777537977,0.28598721048038545,0.1939574233559835,0.13728919247048232,0.057925839634801524,0.13155548911069537,0.08128290477260866,0.10763351052618315,0.09901150074939927,0.10581992230460105,-0.0157827933412544
1899,0.17153601709407434,0.02714101807996919,0.07533136593319288,0.21324895128550525,0.15625570680564835,0.010611107201286562,0.19798359542483207,0.17193660402498862,0.10657368157924767,0.1526540661321563,0.09386464455449584,0.08038171003143377
1900,0.0716146810640082,0.10258327591378057,0.10004622440509099,0.19481549858106903,0.14335110251509148,-0.0010887046116117086,0.258796310194233,0.1313991248628833,0.12323138751271492,0.05199393195471705,0.10864668768156119,0.27189083526488794
1901,0.1668226550682358,0.1489394107646736,0.2979476235691966,0.1524587257691584,0.19339301279382953,0.28276100931152454,0.006680407773832555,0.11858357121278361,0.14512293907646945,0.17189386092636422,0.11831113484194233,0.20166621507485924
1902,0.17619057160657722,0.15692745003500935,-0.00603591357661354,0.19320453617129565,0.16367003349292988,0.10266482581400853,0.1926219913152786,0.17993144335240144,0.12589806150243263,0.1993706126749707,0.14917956839787735,0.051187778718245036
1903,0.1755966796882639,0.07310708874100225,0.053161687311874734,0.29215114662261044,0.18525514979170304,0.06615734824478658,0.2202380274400234,0.15727813428695003,0.14400246191365232,0.13489806496555554,0.13108782749582346,-0.000956196406288338
1904,0.15576128723780772,0.112373483266697,0.00932842376475268,0.17520166050090263,0.1618000422564719,0.11899275995097457,0.04333983495652781,0.13830452726174508,0.2210165313628286,0.1605331728154211,0.10784334481295063,0.006056951817922998
1905,0.04294865688534621,0.037266322043698744,0.1352808696548137,0.12291209134923005,0.1991179965971258,0.0980991875686892,-0.14993760694195832,0.21365170956812252,0.14204364658041865,0.15662255389179924,0.14941658153182033,0.06940110237884112
1906,0.11244475227641942,0.004687126822657521,0.07284116179266731,0.1416811860244077,0.1852678186259946,0.16156658025816148,0.05146391426068439,0.12724700889902185,0.11515900195619971,0.21632941437275946,0.04127809994650877,0.0910206209260644
1907,0.20570684328496036,0.03939784352291326,0.07745265669669577,0.18602990152941043,0.19363289301231515,0.1753600771534041,0.08116981840746312,0.05795650266329052,0.20624425580497727,0.23624133911453501,0.044492258255297824,0.2049370233948291
1908,0.10824230875812142,0.11082250106539747,0.13065596977552332,0.1455064892284112,0.22931386572509752,0.22735523051220768,0.1705699930714903,0.16213994143873198,0.14557664509004267,0.2400083717214136,0.017724339437775356,0.3553297311425939
1909,0.12763864250280718,-0.006685897193418946,0.04193670079913996,0.21489630009649,0.2598900559539478,0.07389236904429887,0.05466096859843545,0.17573827619296364,0.17031184085594747,0.1595907574073438,0.07828936866662392,0.18994834742913314
1910,0.15732740330007464,0.0013128413254871723,0.05875664091880509,0.23340615074664253,0.28557493446711757,0.09537030127447241,0.1114818058997159,0.2033934509923785,0.19394552895700415,0.20721991997852485,0.1107396364472134,0.13795236746696288
1911,0.22021771680910746,-0.11598971191490999,0.24714487938516133,0.25241912716618964,0.2737712887179987,0.19777925578495914,0.000923588654391902,0.06359207242230412,0.17114361534221895,0.05531975684954138,0.26342852293512686,0.24802957409927703
1912,0.19685699038015855,0.00038991094930786294,0.33494138799233386,0.3035727690225379,0.2955324190007841,0.28258963844006113,0.13517319842130185,0.16106227111122745,0.21951699268391167,0.014467895166234602,0.1308608681580075,0.40534501417113067
1913,0.1271923129919823,0.07907006121252946,0.21086088472255288,0.3545125610409835,0.33740877813652637,0.13454454675182545,0.1657685506743575,0.2874392987848917,0.16998394130180838,0.06022319858844628,0.16104782445375654,0.34089250629923634
1914,0.11771201844551676,0.07455727533608782,0.28887669226665863,0.23741200851528066,0.3239406213359894,0.05596748467542215,0.32499085946038436,0.33953427831449245,0.2046014659191018,0.1251106152795596,0.3097751975796686,0.2629754312840569
1915,0.099663150352092,0.04691987535016791,0.14502844647486426,0.22395389852521017,0.34617106179097995,0.20555873707599637,0.3736034220195773,0.22978413784000415,0.24344941296884381,0.1653736840714437,0.12289515043005349,0.280969836080232
1916,0.20820769547281479,0.18048209428425566,0.16660482359658552,0.15800564596182945,0.36491615927379484,0.25003523452950666,0.5323047181261007,0.13231999813678588,0.24385205847996397,0.16638328703888772,0.14873243496873828,0.2370693374777818
1917,0.30813622776938643,0.0826815669490958,0.12119272025971271,0.18772387931158158,0.37364121966294617,0.013973688297510787,0.3140919834437748,0.220255340247955,0.27532401093424697,0.07082247181923225,0.2454261853223714,0.250867076169249
1918,0.23394278093180673,0.12222436387577594,0.29433795634395554,0.2776954036207332,0.4051920086202588,0.2848177673768216,0.2089249063878546,0.13745213989950872,0.2122500245307274,0.06490796500287632,0.2831655201894665,0.23958577473682813
1919,0.18659776401495884,0.1251531505502158,0.16019795224967676,0.26892074339796324,0.37138558653554066,0.25162296027159126,0.3687180151247122,0.2642809480968674,0.2608496433459034,0.20266507204272183,0.18867092461674637,0.09706945133093178
1920,0.30526713291102064,0.061972881133197814,0.30749407551084484,0.2720191146338965,0.4017679268593084,0.1310288621922667,0.39304865687840707,0.2443551478251227,0.25546957556264155,0.4022211671327009,0.27332019015699194,0.15834615529251703
1921,0.35597527241753896,0.08134574780263053,0.31591445657329315,0.2748278439469724,0.40103441034266735,0.274257201365979,0.5634777239989398,0.2455534689109922,0.23367636662470886,0.17504502006416536,0.20549106226593336,0.12751984003446953
1922,0.20078373962503163,0.16741745514210818,0.3793432777056,0.2465318977684158,0.4141611202891839,0.2094990230806906,0.5197280006939237,0.4189164160217162,0.21831538271566162,0.12068191657405812,0.33041140978170164,0.13526819277640323
